latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-26.15047,-60.85018,317.78,0.34,0.56,2026-02-23,0438,N,VIIRS,n,2.0NRT,290.2,1.95,N
-26.15636,-60.84826,309.31,0.34,0.56,2026-02-23,0438,N,VIIRS,n,2.0NRT,289.4,1.81,N
-26.15558,-60.85166,323.75,0.34,0.56,2026-02-23,0438,N,VIIRS,n,2.0NRT,289.83,1.95,N
-26.16069,-60.85314,301.72,0.34,0.56,2026-02-23,0438,N,VIIRS,n,2.0NRT,289.22,0.71,N
-26.16146,-60.84973,301.73,0.34,0.56,2026-02-23,0438,N,VIIRS,n,2.0NRT,289,0.56,N
-27.09593,-60.4214,309.61,0.61,0.53,2026-02-23,0438,N,VIIRS,n,2.0NRT,290.92,1.47,N
-29.25579,-56.78548,299.66,0.52,0.42,2026-02-23,0440,N,VIIRS,n,2.0NRT,269.24,1.72,N
-29.97089,-62.29353,300.37,0.34,0.56,2026-02-23,0440,N,VIIRS,n,2.0NRT,287.96,0.3,N
-29.97683,-62.29165,301.29,0.34,0.56,2026-02-23,0440,N,VIIRS,n,2.0NRT,288.54,1.13,N
-33.25369,-60.28627,306.11,0.45,0.47,2026-02-23,0440,N,VIIRS,n,2.0NRT,291.84,2.11,N
-33.25796,-60.28753,316.66,0.45,0.47,2026-02-23,0440,N,VIIRS,n,2.0NRT,290.54,2.11,N
-33.259,-60.28278,303.45,0.45,0.47,2026-02-23,0440,N,VIIRS,n,2.0NRT,287.34,1.21,N
-33.36816,-60.16176,322.22,0.44,0.46,2026-02-23,0440,N,VIIRS,n,2.0NRT,290.26,3.54,N
-33.37023,-60.15234,312.17,0.44,0.46,2026-02-23,0440,N,VIIRS,n,2.0NRT,291.24,3.91,N
-33.37547,-60.14897,309.27,0.44,0.46,2026-02-23,0440,N,VIIRS,n,2.0NRT,290.28,2.41,N
-34.35511,-58.71481,332.07,0.53,0.42,2026-02-23,0440,N,VIIRS,n,2.0NRT,292.62,11.08,N
-34.37703,-59.0219,308.17,0.55,0.43,2026-02-23,0440,N,VIIRS,n,2.0NRT,290,1.04,N
-34.85561,-57.89579,302.19,0.48,0.4,2026-02-23,0440,N,VIIRS,n,2.0NRT,278,0.73,N
-34.85928,-57.89686,305.66,0.48,0.4,2026-02-23,0440,N,VIIRS,n,2.0NRT,278.6,0.73,N
-37.71294,-69.14138,328.28,0.5,0.66,2026-02-23,0442,N,VIIRS,n,2.0NRT,287.08,2.56,N
-37.42501,-69.17413,323.17,0.52,0.66,2026-02-23,0442,N,VIIRS,n,2.0NRT,287.38,2.07,N
-37.71123,-69.14725,301.7,0.51,0.66,2026-02-23,0442,N,VIIRS,n,2.0NRT,286.26,2.56,N
-38.69878,-68.70538,341.82,0.45,0.63,2026-02-23,0442,N,VIIRS,n,2.0NRT,290.93,4.3,N
-38.27571,-68.7037,305.03,0.46,0.64,2026-02-23,0442,N,VIIRS,n,2.0NRT,290.08,0.88,N
-38.26993,-68.70135,308.99,0.46,0.64,2026-02-23,0442,N,VIIRS,n,2.0NRT,290.33,0.88,N
-37.71318,-69.13438,314.57,0.5,0.66,2026-02-23,0442,N,VIIRS,n,2.0NRT,286.59,2.35,N
-37.70969,-69.14607,296.15,0.5,0.66,2026-02-23,0442,N,VIIRS,n,2.0NRT,286.06,2.56,N
-37.71143,-69.14023,330.42,0.5,0.66,2026-02-23,0442,N,VIIRS,n,2.0NRT,287.13,2.35,N
-37.71466,-69.13551,310.42,0.5,0.66,2026-02-23,0442,N,VIIRS,n,2.0NRT,286.47,1.65,N
-38.69931,-68.70542,304.55,0.35,0.57,2026-02-23,0622,N,VIIRS,n,2.0NRT,288.9,2.42,N
-38.74811,-68.83692,306.21,0.35,0.56,2026-02-23,0622,N,VIIRS,n,2.0NRT,286.83,0.4,N
-38.74855,-68.91911,319.82,0.34,0.56,2026-02-23,0622,N,VIIRS,n,2.0NRT,289.98,1.07,N
-37.43123,-69.17233,312.36,0.32,0.55,2026-02-23,0622,N,VIIRS,n,2.0NRT,286.77,0.79,N
-37.71269,-69.13496,337.86,0.33,0.55,2026-02-23,0622,N,VIIRS,n,2.0NRT,287.59,1.29,N
-38.74279,-68.83633,304.09,0.35,0.56,2026-02-23,0622,N,VIIRS,n,2.0NRT,286.36,0.3,N
-37.71244,-69.13869,305.09,0.33,0.55,2026-02-23,0622,N,VIIRS,n,2.0NRT,286.42,1.29,N
-37.71788,-69.13547,299.22,0.33,0.55,2026-02-23,0622,N,VIIRS,n,2.0NRT,285.95,1.29,N
-38.69957,-68.70106,347.56,0.35,0.57,2026-02-23,0622,N,VIIRS,n,2.0NRT,291.02,2.42,N
-37.71219,-69.14242,315.64,0.33,0.55,2026-02-23,0622,N,VIIRS,n,2.0NRT,287.59,1.74,N
-37.42609,-69.17154,316.97,0.32,0.55,2026-02-23,0622,N,VIIRS,n,2.0NRT,286.95,0.79,N
-38.51662,-58.73343,331.35,0.45,0.63,2026-02-23,1702,N,VIIRS,n,2.0NRT,287.65,4.24,D
-25.34721,-58.41336,334.61,0.32,0.55,2026-02-23,1704,N,VIIRS,n,2.0NRT,294.01,5.12,D
-30.99104,-58.23892,334.8,0.36,0.58,2026-02-23,1704,N,VIIRS,n,2.0NRT,294.43,4.06,D
-30.23783,-63.03908,347.06,0.68,0.74,2026-02-23,1704,N,VIIRS,n,2.0NRT,290.76,9.11,D
-30.24056,-63.03994,338.4,0.68,0.74,2026-02-23,1704,N,VIIRS,n,2.0NRT,291.08,9.41,D
-30.06774,-60.90314,331.94,0.51,0.66,2026-02-23,1704,N,VIIRS,n,2.0NRT,290.17,1.53,D
-30.10426,-62.77528,367,0.66,0.73,2026-02-23,1704,N,VIIRS,h,2.0NRT,293.94,23.04,D
-29.98675,-62.28262,341.61,0.61,0.71,2026-02-23,1704,N,VIIRS,n,2.0NRT,299.24,7.19,D
-29.98502,-62.28395,332.96,0.61,0.71,2026-02-23,1704,N,VIIRS,n,2.0NRT,299.9,10.25,D
-29.79466,-62.48323,334.74,0.63,0.72,2026-02-23,1704,N,VIIRS,n,2.0NRT,295.36,8.02,D
-29.75288,-62.76411,331.23,0.65,0.73,2026-02-23,1704,N,VIIRS,n,2.0NRT,292.11,5,D
-29.74568,-62.7574,338.03,0.65,0.73,2026-02-23,1704,N,VIIRS,n,2.0NRT,292.6,4.11,D
-29.63194,-62.11495,367,0.6,0.7,2026-02-23,1704,N,VIIRS,h,2.0NRT,295.31,21.68,D
-29.41037,-58.616,330.09,0.37,0.58,2026-02-23,1704,N,VIIRS,n,2.0NRT,289.5,4,D
-29.63162,-62.10848,348.75,0.6,0.7,2026-02-23,1704,N,VIIRS,n,2.0NRT,295.18,20.78,D
-29.65029,-62.95016,367,0.67,0.73,2026-02-23,1704,N,VIIRS,h,2.0NRT,294.56,16.89,D
-29.6506,-62.95741,342.17,0.67,0.73,2026-02-23,1704,N,VIIRS,n,2.0NRT,291.5,16.89,D
-29.64503,-62.95227,367,0.67,0.73,2026-02-23,1704,N,VIIRS,h,2.0NRT,292.78,22.21,D
-28.77347,-56.54386,348.41,0.54,0.51,2026-02-23,1704,N,VIIRS,n,2.0NRT,293.76,8.3,D
-28.8555,-58.58741,330.77,0.36,0.58,2026-02-23,1704,N,VIIRS,n,2.0NRT,295.07,2.93,D
-26.39734,-59.0111,338.45,0.36,0.58,2026-02-23,1704,N,VIIRS,n,2.0NRT,295.88,4.66,D
-25.9886,-58.97453,335.17,0.36,0.57,2026-02-23,1704,N,VIIRS,n,2.0NRT,292.96,1.99,D
-25.38797,-58.40557,354.94,0.32,0.55,2026-02-23,1704,N,VIIRS,n,2.0NRT,293.24,7.61,D
-25.38284,-58.40614,367,0.32,0.55,2026-02-23,1704,N,VIIRS,h,2.0NRT,296.22,8.84,D
-25.38315,-58.40944,367,0.32,0.55,2026-02-23,1704,N,VIIRS,h,2.0NRT,296.42,5.09,D
-25.38254,-58.40284,347.11,0.32,0.55,2026-02-23,1704,N,VIIRS,n,2.0NRT,293.68,8.84,D
-25.38345,-58.41275,331.88,0.32,0.55,2026-02-23,1704,N,VIIRS,n,2.0NRT,292.38,5.09,D
-25.37771,-58.4067,352.61,0.32,0.55,2026-02-23,1704,N,VIIRS,n,2.0NRT,293.35,8.84,D
-25.37801,-58.41,334.76,0.32,0.55,2026-02-23,1704,N,VIIRS,n,2.0NRT,292.47,5.09,D
-25.37831,-58.4133,336.2,0.32,0.55,2026-02-23,1704,N,VIIRS,n,2.0NRT,290.74,5.09,D
-25.36865,-58.421,330.97,0.32,0.55,2026-02-23,1704,N,VIIRS,n,2.0NRT,293.64,4.94,D
-25.30433,-59.6531,343.35,0.39,0.59,2026-02-23,1704,N,VIIRS,n,2.0NRT,287.38,4.68,D
-25.29879,-59.65366,330.89,0.39,0.59,2026-02-23,1704,N,VIIRS,n,2.0NRT,287.33,4.68,D
-25.07645,-57.98568,333.63,0.6,0.53,2026-02-23,1704,N,VIIRS,n,2.0NRT,289.84,2.93,D
-31.49555,-63.7676,327.03,0.77,0.77,2026-02-23,1704,N,VIIRS,n,2.0NRT,291.67,6.91,D
-30.99074,-58.23502,353.01,0.36,0.58,2026-02-23,1704,N,VIIRS,n,2.0NRT,296.23,4.06,D
-38.43887,-68.55945,344.89,0.41,0.37,2026-02-23,1842,N,VIIRS,l,2.0NRT,319.08,6.43,D
-38.5139,-58.73689,345.41,0.36,0.58,2026-02-23,1842,N,VIIRS,n,2.0NRT,289.19,3.28,D
-38.51775,-58.73598,330.99,0.36,0.58,2026-02-23,1842,N,VIIRS,n,2.0NRT,289.26,2.59,D
-34.74545,-60.04132,345.25,0.39,0.59,2026-02-23,1842,N,VIIRS,n,2.0NRT,289.35,3.26,D
-34.74568,-60.03815,329.47,0.39,0.59,2026-02-23,1842,N,VIIRS,n,2.0NRT,290.14,3.86,D
-39.47174,-65.59866,332.88,0.49,0.4,2026-02-23,1842,N,VIIRS,l,2.0NRT,306.06,2.67,D
-39.46805,-65.59987,333.1,0.49,0.4,2026-02-23,1842,N,VIIRS,l,2.0NRT,305.04,2.6,D
-29.00151,-61.77616,338.69,0.43,0.62,2026-02-23,1845,N,VIIRS,n,2.0NRT,302.27,5.01,D
-28.23864,-62.69329,333.45,0.4,0.6,2026-02-23,1845,N,VIIRS,n,2.0NRT,297.28,5.37,D
-29.4178,-62.05569,343.37,0.4,0.6,2026-02-23,1845,N,VIIRS,n,2.0NRT,297.62,6.56,D
-29.41984,-62.06405,331.39,0.4,0.6,2026-02-23,1845,N,VIIRS,n,2.0NRT,298.57,3.51,D
-29.70012,-63.30909,343.85,0.34,0.56,2026-02-23,1845,N,VIIRS,n,2.0NRT,299.81,3.75,D
-29.5777,-62.81448,331.47,0.36,0.58,2026-02-23,1845,N,VIIRS,n,2.0NRT,299.46,2.19,D
-29.69502,-63.31066,352.76,0.34,0.56,2026-02-23,1845,N,VIIRS,n,2.0NRT,299.9,6.48,D
-29.00139,-61.77196,336.95,0.43,0.62,2026-02-23,1845,N,VIIRS,n,2.0NRT,300.74,2.11,D
-29.0025,-61.77634,336.01,0.43,0.62,2026-02-23,1845,N,VIIRS,n,2.0NRT,303.1,2.11,D
-29.4199,-62.05204,352.83,0.4,0.6,2026-02-23,1845,N,VIIRS,n,2.0NRT,297.62,8.21,D
-29.42643,-62.05449,338.17,0.4,0.6,2026-02-23,1845,N,VIIRS,n,2.0NRT,297.06,4.9,D
-29.74338,-62.75505,346.28,0.36,0.58,2026-02-23,1845,N,VIIRS,n,2.0NRT,295.25,12.66,D
-29.75044,-62.76093,351.62,0.36,0.58,2026-02-23,1845,N,VIIRS,n,2.0NRT,296.77,8.52,D
-29.74953,-62.75718,367,0.36,0.58,2026-02-23,1845,N,VIIRS,h,2.0NRT,298.79,12.66,D
-29.75659,-62.76305,345.93,0.36,0.57,2026-02-23,1845,N,VIIRS,n,2.0NRT,297.9,2.9,D
-29.75569,-62.7593,334.98,0.36,0.58,2026-02-23,1845,N,VIIRS,n,2.0NRT,296.62,2.9,D
-29.77142,-62.75441,332.74,0.36,0.58,2026-02-23,1845,N,VIIRS,n,2.0NRT,296.99,3.85,D
-29.77667,-62.75277,367,0.36,0.58,2026-02-23,1845,N,VIIRS,h,2.0NRT,298.76,7.63,D
-29.63273,-62.11004,343.75,0.4,0.6,2026-02-23,1845,N,VIIRS,n,2.0NRT,302.23,9.52,D
-29.63373,-62.11413,367,0.4,0.6,2026-02-23,1845,N,VIIRS,h,2.0NRT,302.72,8.88,D
-29.78539,-62.59423,334.06,0.37,0.58,2026-02-23,1845,N,VIIRS,n,2.0NRT,298.2,2.61,D
-29.79125,-62.50133,332.75,0.37,0.58,2026-02-23,1845,N,VIIRS,n,2.0NRT,297.7,3.68,D
-29.78557,-62.47809,347.04,0.37,0.58,2026-02-23,1845,N,VIIRS,n,2.0NRT,297.27,6.5,D
-29.79373,-62.48806,339.4,0.37,0.58,2026-02-23,1845,N,VIIRS,n,2.0NRT,300.1,4.47,D
-29.79279,-62.48418,338.38,0.37,0.58,2026-02-23,1845,N,VIIRS,n,2.0NRT,299.17,4.47,D
-29.7909,-62.47642,367,0.37,0.58,2026-02-23,1845,N,VIIRS,h,2.0NRT,301.19,6.5,D
-29.79905,-62.48639,330.54,0.37,0.58,2026-02-23,1845,N,VIIRS,n,2.0NRT,298.17,2.13,D
-29.79811,-62.48252,333.81,0.37,0.58,2026-02-23,1845,N,VIIRS,n,2.0NRT,298.79,2.13,D
-29.98626,-62.28212,367,0.38,0.59,2026-02-23,1845,N,VIIRS,h,2.0NRT,305.05,11.73,D
-30.17163,-62.98366,343.14,0.34,0.56,2026-02-23,1845,N,VIIRS,n,2.0NRT,298.46,4.62,D
-30.23498,-63.04122,342.49,0.34,0.56,2026-02-23,1845,N,VIIRS,n,2.0NRT,297.47,3.39,D
-30.88226,-61.50409,355.32,0.4,0.6,2026-02-23,1845,N,VIIRS,n,2.0NRT,294.17,0.32,D
-30.99057,-58.23164,329.32,0.6,0.71,2026-02-23,1845,N,VIIRS,n,2.0NRT,292.26,6.84,D
-33.37895,-60.14417,327.76,0.41,0.61,2026-02-23,1845,N,VIIRS,n,2.0NRT,290.9,4.77,D
-29.42328,-62.05393,335.85,0.4,0.6,2026-02-23,1845,N,VIIRS,n,2.0NRT,297.61,3.47,D
-29.4243,-62.05812,337.51,0.4,0.6,2026-02-23,1845,N,VIIRS,n,2.0NRT,298.62,3.47,D
-26.20602,-59.1202,337.27,0.7,0.75,2026-02-23,1847,N,VIIRS,n,2.0NRT,288.29,6.55,D
-29.63009,-58.68974,315.12,0.4,0.6,2026-02-24,0421,N,VIIRS,n,2.0NRT,288.03,1.39,N
-29.62938,-58.68327,304.4,0.4,0.6,2026-02-24,0421,N,VIIRS,n,2.0NRT,286.59,1.17,N
-29.62833,-58.68742,325.93,0.4,0.6,2026-02-24,0421,N,VIIRS,n,2.0NRT,287.66,1.17,N
-29.63112,-58.68556,309.31,0.4,0.6,2026-02-24,0421,N,VIIRS,n,2.0NRT,286.51,1.39,N
-27.00727,-55.36349,303.01,0.59,0.53,2026-02-24,0421,N,VIIRS,n,2.0NRT,282.04,2.11,N
-33.36861,-60.16085,316.83,0.39,0.6,2026-02-24,0423,N,VIIRS,n,2.0NRT,287.81,2.34,N
-43.23988,-65.27663,303.56,0.39,0.59,2026-02-24,0423,N,VIIRS,n,2.0NRT,284.54,0.71,N
-43.23468,-65.2736,319.88,0.39,0.59,2026-02-24,0423,N,VIIRS,n,2.0NRT,285.36,1.67,N
-43.23659,-65.27256,331.32,0.39,0.59,2026-02-24,0423,N,VIIRS,n,2.0NRT,286.2,2.78,N
-33.36748,-60.16518,310.9,0.4,0.6,2026-02-24,0423,N,VIIRS,n,2.0NRT,287.87,2.34,N
-33.25634,-60.28162,311.9,0.4,0.6,2026-02-24,0423,N,VIIRS,n,2.0NRT,288.03,1.84,N
-33.2541,-60.29021,306.16,0.4,0.6,2026-02-24,0423,N,VIIRS,n,2.0NRT,288.43,2.16,N
-33.25523,-60.28591,321.48,0.4,0.6,2026-02-24,0423,N,VIIRS,n,2.0NRT,288.17,2.16,N
-43.16237,-71.6435,367,0.74,0.76,2026-02-24,0425,N,VIIRS,h,2.0NRT,286.8,8.18,N
-43.15668,-71.65917,302.51,0.74,0.76,2026-02-24,0425,N,VIIRS,n,2.0NRT,281.7,6.49,N
-43.15953,-71.65132,307.71,0.74,0.76,2026-02-24,0425,N,VIIRS,n,2.0NRT,282.83,6.49,N
-43.16375,-71.63726,345.79,0.74,0.76,2026-02-24,0425,N,VIIRS,n,2.0NRT,284.45,4.76,N
-43.16256,-71.66557,309.69,0.74,0.76,2026-02-24,0425,N,VIIRS,n,2.0NRT,282.03,3.02,N
-43.16558,-71.65725,313.42,0.74,0.76,2026-02-24,0425,N,VIIRS,n,2.0NRT,282.54,3.02,N
-43.16078,-71.6227,296.09,0.74,0.76,2026-02-24,0425,N,VIIRS,n,2.0NRT,281.63,4.76,N
-43.16087,-71.6453,338.62,0.74,0.76,2026-02-24,0425,N,VIIRS,n,2.0NRT,284.03,15.02,N
-43.16534,-71.63533,318.52,0.74,0.76,2026-02-24,0425,N,VIIRS,n,2.0NRT,282.88,8.18,N
-43.1667,-71.62898,298.19,0.74,0.76,2026-02-24,0425,N,VIIRS,n,2.0NRT,281.07,4.76,N
-43.1594,-71.62912,310.53,0.74,0.76,2026-02-24,0425,N,VIIRS,n,2.0NRT,282.59,8.18,N
-27.37124,-61.61889,300.98,0.37,0.58,2026-02-24,0559,N,VIIRS,n,2.0NRT,289.64,1.03,N
-27.37093,-61.62278,302.75,0.37,0.58,2026-02-24,0559,N,VIIRS,n,2.0NRT,289.97,1.16,N
-33.37545,-60.15055,314.62,0.52,0.66,2026-02-24,0601,N,VIIRS,n,2.0NRT,287.28,3.13,N
-33.25837,-60.28556,307.76,0.51,0.66,2026-02-24,0601,N,VIIRS,n,2.0NRT,286.85,1.02,N
-33.25808,-60.29128,300.34,0.5,0.66,2026-02-24,0601,N,VIIRS,n,2.0NRT,286.91,1.02,N
-33.00415,-60.82084,318.72,0.47,0.64,2026-02-24,0601,N,VIIRS,n,2.0NRT,288.12,1.86,N
-29.82112,-62.62392,316.84,0.34,0.56,2026-02-24,0601,N,VIIRS,n,2.0NRT,291.9,1.1,N
-29.81584,-62.62333,311.11,0.34,0.56,2026-02-24,0601,N,VIIRS,n,2.0NRT,291.06,2.33,N
-29.81527,-62.63066,310.8,0.34,0.56,2026-02-24,0601,N,VIIRS,n,2.0NRT,290.86,1.83,N
-29.81691,-62.62309,316.91,0.34,0.56,2026-02-24,0601,N,VIIRS,n,2.0NRT,291.12,2.64,N
-29.82219,-62.62366,305.46,0.34,0.56,2026-02-24,0601,N,VIIRS,n,2.0NRT,291.15,0.73,N
-28.82761,-65.75479,313.36,0.44,0.46,2026-02-24,0601,N,VIIRS,n,2.0NRT,290.84,1.86,N
-29.79231,-62.59821,308.4,0.34,0.56,2026-02-24,0601,N,VIIRS,n,2.0NRT,290.82,1.16,N
-29.81101,-62.62984,307.67,0.34,0.56,2026-02-24,0601,N,VIIRS,n,2.0NRT,290.98,1.17,N
-29.81629,-62.63041,314.73,0.34,0.56,2026-02-24,0601,N,VIIRS,n,2.0NRT,290.98,1.17,N
-33.06409,-68.97549,303.55,0.5,0.41,2026-02-24,0601,N,VIIRS,n,2.0NRT,292.87,1.61,N
-38.27489,-68.70139,311.74,0.39,0.44,2026-02-24,0603,N,VIIRS,n,2.0NRT,288.83,0.86,N
-37.0857,-69.47501,320.04,0.53,0.42,2026-02-24,0603,N,VIIRS,n,2.0NRT,288.44,1.98,N
-37.42718,-69.17189,327.68,0.55,0.43,2026-02-24,0603,N,VIIRS,n,2.0NRT,289.89,3.19,N
-37.71437,-69.13938,327.47,0.55,0.43,2026-02-24,0603,N,VIIRS,n,2.0NRT,287.69,2.51,N
-37.71504,-69.13306,327.48,0.55,0.43,2026-02-24,0603,N,VIIRS,n,2.0NRT,287.02,2.51,N
-37.97327,-68.65451,310.23,0.39,0.44,2026-02-24,0603,N,VIIRS,n,2.0NRT,289.81,0.93,N
-37.97373,-68.64993,299.46,0.39,0.44,2026-02-24,0603,N,VIIRS,n,2.0NRT,288.95,0.93,N
-38.21688,-68.63873,333.77,0.4,0.44,2026-02-24,0603,N,VIIRS,n,2.0NRT,291.15,1.88,N
-38.221,-68.63941,318.94,0.4,0.44,2026-02-24,0603,N,VIIRS,n,2.0NRT,289.74,1.26,N
-38.70013,-68.70175,337.52,0.4,0.44,2026-02-24,0603,N,VIIRS,n,2.0NRT,290.29,2.4,N
-41.60284,-65.13446,331.21,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,288.23,6.77,N
-41.6031,-65.13041,349.8,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,291.53,6.77,N
-41.60334,-65.1264,356.24,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,296.83,5.85,N
-41.6036,-65.12235,300.15,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,286.45,5.85,N
-41.60775,-65.1391,324.4,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,287.56,8.84,N
-41.608,-65.13506,367,0.32,0.55,2026-02-24,0603,N,VIIRS,h,2.0NRT,294.12,19.72,N
-41.60826,-65.13103,367,0.32,0.55,2026-02-24,0603,N,VIIRS,h,2.0NRT,301.25,19.72,N
-41.60851,-65.12699,339.75,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,287.2,4.23,N
-41.61292,-65.13972,340.45,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,290.43,8.84,N
-41.61317,-65.13568,354.39,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,311.65,19.72,N
-41.61342,-65.13163,334.07,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,288.01,19.72,N
-41.61266,-65.14378,298.38,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,285.7,8.84,N
-41.61367,-65.1276,299.29,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,286.18,4.23,N
-41.61757,-65.14838,322.43,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,286.36,8.61,N
-41.61782,-65.14433,367,0.32,0.55,2026-02-24,0603,N,VIIRS,h,2.0NRT,294.25,7.08,N
-41.61808,-65.14029,367,0.32,0.55,2026-02-24,0603,N,VIIRS,h,2.0NRT,297.84,7.08,N
-41.61833,-65.13625,367,0.32,0.55,2026-02-24,0603,N,VIIRS,h,2.0NRT,288.77,7.05,N
-41.61858,-65.1322,303.2,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,285.75,7.05,N
-41.62299,-65.14491,297.95,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,285.47,7.08,N
-41.62324,-65.14086,297.98,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,285.52,7.08,N
-41.60907,-65.13708,354.54,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,292.03,16.47,N
-41.60931,-65.13303,367,0.32,0.55,2026-02-24,0603,N,VIIRS,h,2.0NRT,299.26,17.6,N
-41.60953,-65.12898,354.44,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,291.56,17.6,N
-41.60976,-65.12493,299.7,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,285.64,2.27,N
-41.61424,-65.1377,367,0.32,0.55,2026-02-24,0603,N,VIIRS,h,2.0NRT,301.21,16.47,N
-41.61401,-65.14175,313.07,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,287.02,16.47,N
-41.61447,-65.13364,317.72,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,299.06,17.6,N
-41.6147,-65.12959,308.24,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,286.32,17.6,N
-41.61894,-65.14639,367,0.32,0.55,2026-02-24,0603,N,VIIRS,h,2.0NRT,291.33,11.85,N
-41.61917,-65.14233,353.87,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,291.66,10.66,N
-41.6194,-65.13828,367,0.32,0.55,2026-02-24,0603,N,VIIRS,h,2.0NRT,293.46,10.66,N
-41.61964,-65.13421,306.87,0.32,0.55,2026-02-24,0603,N,VIIRS,n,2.0NRT,286.14,3.74,N
-43.1629,-71.62452,312.38,0.5,0.41,2026-02-24,0605,N,VIIRS,n,2.0NRT,282.27,2.11,N
-43.16317,-71.65631,342.96,0.5,0.41,2026-02-24,0605,N,VIIRS,n,2.0NRT,287.21,7.76,N
-43.16948,-71.65779,295.49,0.5,0.41,2026-02-24,0605,N,VIIRS,n,2.0NRT,281.03,1.19,N
-43.16981,-71.63198,299.49,0.5,0.41,2026-02-24,0605,N,VIIRS,n,2.0NRT,280.51,9.84,N
-43.16219,-71.63075,328.01,0.5,0.41,2026-02-24,0605,N,VIIRS,n,2.0NRT,283.06,4.11,N
-43.1691,-71.63821,315.3,0.5,0.41,2026-02-24,0605,N,VIIRS,n,2.0NRT,283.03,9.84,N
-43.16768,-71.65071,306.34,0.5,0.41,2026-02-24,0605,N,VIIRS,n,2.0NRT,282.88,11.41,N
-43.16697,-71.65699,337.59,0.5,0.41,2026-02-24,0605,N,VIIRS,n,2.0NRT,282.65,7.76,N
-43.16389,-71.65004,309.1,0.5,0.41,2026-02-24,0605,N,VIIRS,n,2.0NRT,283.01,11.41,N
-43.16529,-71.63757,337.05,0.5,0.41,2026-02-24,0605,N,VIIRS,n,2.0NRT,291.08,9.84,N
-43.16459,-71.64379,343.23,0.5,0.41,2026-02-24,0605,N,VIIRS,n,2.0NRT,290.36,11.41,N
-29.21553,-56.73575,328.38,0.54,0.68,2026-02-24,1643,N,VIIRS,n,2.0NRT,293.34,4.4,D
-25.34011,-58.70604,336.09,0.66,0.73,2026-02-24,1645,N,VIIRS,n,2.0NRT,289.63,7.56,D
-28.33356,-59.06699,329.21,0.73,0.76,2026-02-24,1645,N,VIIRS,n,2.0NRT,293.83,3.53,D
-27.72531,-54.97951,329.91,0.41,0.61,2026-02-24,1645,N,VIIRS,n,2.0NRT,289.96,3.27,D
-27.72438,-54.97881,334.69,0.41,0.61,2026-02-24,1645,N,VIIRS,n,2.0NRT,289.47,3.65,D
-41.62207,-65.13493,341.53,0.38,0.36,2026-02-24,1821,N,VIIRS,n,2.0NRT,310.46,9.89,D
-37.08612,-69.47627,344.3,0.43,0.38,2026-02-24,1823,N,VIIRS,n,2.0NRT,318.81,4.86,D
-38.40964,-68.71449,345.08,0.42,0.37,2026-02-24,1823,N,VIIRS,n,2.0NRT,313.16,4.47,D
-37.20408,-61.27416,332.56,0.51,0.41,2026-02-24,1823,N,VIIRS,n,2.0NRT,302.51,6.08,D
-37.20531,-61.27176,337.02,0.51,0.41,2026-02-24,1823,N,VIIRS,n,2.0NRT,302.7,2.24,D
-38.74789,-68.91575,341.35,0.42,0.38,2026-02-24,1823,N,VIIRS,l,2.0NRT,315.17,3.85,D
-37.75909,-58.01606,330.24,0.48,0.48,2026-02-24,1823,N,VIIRS,n,2.0NRT,295.61,2.71,D
-33.25821,-60.28477,341.05,0.45,0.47,2026-02-24,1823,N,VIIRS,n,2.0NRT,303.75,4.33,D
-33.3677,-60.15722,333.9,0.46,0.47,2026-02-24,1823,N,VIIRS,n,2.0NRT,303.79,6.07,D
-34.99686,-67.74401,337.76,0.39,0.36,2026-02-24,1823,N,VIIRS,l,2.0NRT,312.76,1.99,D
-33.37845,-60.14347,342.53,0.46,0.47,2026-02-24,1823,N,VIIRS,n,2.0NRT,303.71,7.03,D
